path,violations,max_tokens,median_tokens
benchmark_runs/qwen2.5-3b-lora-unclean10k-20260423T040843119141Z/raw/code_translate/qwen2_5_3b_lora_unclean10k_20260423T040843119141Z_0_end.jsonl,2516,8387,4462
benchmark_runs/deepseek-coder-6.7b-base-lora-clean-20260419T043211238548Z/raw/code_translate/deepseek_coder_6_7b_base_lora_clean_20260419T043211238548Z_0_end.jsonl,2515,6152,4794
benchmark_runs/qwen2.5-coder-7b-lora-clean10k-20260409T235910483594Z/raw/code_translate/qwen2_5_coder_7b_lora_clean10k_20260409T235910483594Z_0_end.jsonl,2515,6438,4147
benchmark_runs/deepseek-coder-6.7b-base-lora-clean-20260410T083740880601Z/raw/code_translate/deepseek_coder_6_7b_base_lora_clean_20260410T083740880601Z_0_end.jsonl,2512,6152,4802
benchmark_runs/qwen2.5-coder-7b-lora-dirty-20260416T230342417572Z/raw/code_translate/qwen2_5_coder_7b_lora_dirty_20260416T230342417572Z_0_end.jsonl,2512,15416,4176
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260423T015421183589Z/raw/code_translate/qwen2_5_coder_7b_lora_unclean_20260423T015421183589Z_0_end.jsonl,2510,15551,4268
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260423T132418034156Z/raw/code_translate/qwen2_5_coder_7b_lora_unclean_20260423T132418034156Z_0_end.jsonl,2510,15696,4272
benchmark_runs/qwen2.5-coder-14b-lora-unclean74k-20260416T225633840158Z/raw/code_translate/qwen2_5_coder_14b_lora_unclean74k_20260416T225633840158Z_0_end.jsonl,2505,20144,4326
benchmark_runs/qwen2.5-coder-7b-lora-dirty10k-20260418T160803449471Z/raw/code_translate/qwen2_5_coder_7b_lora_dirty10k_20260418T160803449471Z_0_end.jsonl,2505,6744,4188
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean-20260423T175454860327Z/raw/code_translate/deepseek_coder_6_7b_base_lora_unclean_20260423T175454860327Z_0_end.jsonl,2504,6141,5909
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T015608558738Z/raw/code_translate/qwen2_5_coder_14b_lora_unclean_20260422T015608558738Z_0_end.jsonl,2504,16164,4388
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T104121153032Z/raw/code_translate/qwen2_5_coder_14b_lora_unclean_20260422T104121153032Z_0_end.jsonl,2504,15564,4392
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260423T003441441412Z/raw/code_translate/qwen2_5_coder_14b_lora_unclean_20260423T003441441412Z_0_end.jsonl,2503,16164,4385
benchmark_runs/qwen2.5-coder-7b-lora-dirty10k-20260416T221032354053Z/raw/code_translate/qwen2_5_coder_7b_lora_dirty10k_20260416T221032354053Z_0_end.jsonl,2503,13477,4191
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T184547557365Z/raw/code_translate/qwen2_5_coder_14b_lora_unclean_20260422T184547557365Z_0_end.jsonl,2501,16164,4388
benchmark_runs/qwen2.5-3b-lora-clean10k-20260409T223816521417Z/raw/code_translate/qwen2_5_3b_lora_clean10k_20260409T223816521417Z_0_end.jsonl,2493,7335,4105
benchmark_runs/qwen2.5-coder-7b-lora-unclean74k-20260418T170033879725Z/raw/code_translate/qwen2_5_coder_7b_lora_unclean74k_20260418T170033879725Z_0_end.jsonl,2493,15708,4137
benchmark_runs/qwen2.5-coder-7b-lora-clean-20260410T001507490245Z/raw/code_translate/qwen2_5_coder_7b_lora_clean_20260410T001507490245Z_0_end.jsonl,2492,6444,4126
benchmark_runs/qwen3-4b-base-lora-unclean-20260423T022216133033Z/raw/code_translate/qwen3_4b_base_lora_unclean_20260423T022216133033Z_0_end.jsonl,2486,6443,4232
benchmark_runs/qwen3-4b-base-lora-unclean-20260422T042308214384Z/raw/code_translate/qwen3_4b_base_lora_unclean_20260422T042308214384Z_0_end.jsonl,2484,6443,4235
benchmark_runs/qwen3-4b-base-lora-unclean-20260423T151534824226Z/raw/code_translate/qwen3_4b_base_lora_unclean_20260423T151534824226Z_0_end.jsonl,2475,6443,4231
benchmark_runs/qwen2.5-coder-14b-baseline-20260417T180742437628Z/raw/code_translate/qwen2_5_coder_14b_baseline_20260417T180742437628Z_0_end.jsonl,2471,7775,4136
benchmark_runs/starcoder2-15b-baseline-20260409T203413347628Z/raw/code_translate/starcoder2_15b_baseline_20260409T203413347628Z_0_end.jsonl,2469,5310,3805
benchmark_runs/qwen2.5-coder-14b-lora-clean-20260416T203511555376Z/raw/code_translate/qwen2_5_coder_14b_lora_clean_20260416T203511555376Z_0_end.jsonl,2444,15959,4302
benchmark_runs/qwen2.5-coder-14b-lora-clean-20260418T093649488110Z/raw/code_translate/qwen2_5_coder_14b_lora_clean_20260418T093649488110Z_0_end.jsonl,2443,15912,4307
benchmark_runs/qwen2.5-3b-lora-dirty10k-20260418T073921767284Z/raw/code_translate/qwen2_5_3b_lora_dirty10k_20260418T073921767284Z_0_end.jsonl,2414,16259,4274
benchmark_runs/starcoder2-7b-baseline-20260409T221304723202Z/raw/code_translate/starcoder2_7b_baseline_20260409T221304723202Z_0_end.jsonl,2400,7386,3677
benchmark_runs/starcoder2-7b-baseline-20260415T200314684133Z/raw/code_translate/starcoder2_7b_baseline_20260415T200314684133Z_0_end.jsonl,2397,7416,3681
benchmark_runs/qwen2.5-3b-lora-unclean-20260422T042301940335Z/raw/code_translate/qwen2_5_3b_lora_unclean_20260422T042301940335Z_0_end.jsonl,2393,6584,4300
benchmark_runs/qwen3-14b-base-lora-clean10k-20260418T180430398409Z/raw/code_translate/qwen3_14b_base_lora_clean10k_20260418T180430398409Z_0_end.jsonl,2333,10633,4249
benchmark_runs/qwen3-14b-base-lora-clean10k-20260410T015108695320Z/raw/code_translate/qwen3_14b_base_lora_clean10k_20260410T015108695320Z_0_end.jsonl,2328,10633,4232
benchmark_runs/qwen3-14b-base-lora-clean-20260417T012439790306Z/raw/code_translate/qwen3_14b_base_lora_clean_20260417T012439790306Z_0_end.jsonl,2248,9147,4219
benchmark_runs/starcoder2-3b-baseline-20260418T004851033485Z/raw/code_translate/starcoder2_3b_baseline_20260418T004851033485Z_0_end.jsonl,2235,7850,3571
benchmark_runs/starcoder2-3b-baseline-20260416T210457358916Z/raw/code_translate/starcoder2_3b_baseline_20260416T210457358916Z_0_end.jsonl,2224,7734,3566
benchmark_runs/qwen2.5-coder-7b-lora-unclean74k-20260417T000213274436Z/raw/code_translate/qwen2_5_coder_7b_lora_unclean74k_20260417T000213274436Z_0_end.jsonl,2210,15708,4122
benchmark_runs/qwen2.5-coder-14b-lora-dirty-20260416T203509813736Z/raw/code_translate/qwen2_5_coder_14b_lora_dirty_20260416T203509813736Z_0_end.jsonl,2078,11599,4723
benchmark_runs/llama-3.2-3b-lora-clean-20260410T200640322209Z/raw/code_polishment/llama_3_2_3b_lora_clean_20260410T200640322209Z_0_end.jsonl,2077,7713,4308
benchmark_runs/llama-3.2-3b-lora-clean-20260418T041625154798Z/raw/code_polishment/llama_3_2_3b_lora_clean_20260418T041625154798Z_0_end.jsonl,2077,7713,4308
benchmark_runs/llama-3.2-3b-lora-unclean-20260422T073747642660Z/raw/code_polishment/llama_3_2_3b_lora_unclean_20260422T073747642660Z_0_end.jsonl,2077,7856,4293
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean74k-20260410T101813368867Z/raw/code_polishment/deepseek_coder_6_7b_base_lora_unclean74k_20260410T101813368867Z_0_end.jsonl,2076,6149,5994
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean74k-20260419T075715807957Z/raw/code_polishment/deepseek_coder_6_7b_base_lora_unclean74k_20260419T075715807957Z_0_end.jsonl,2076,6149,5993
benchmark_runs/llama-3.2-3b-lora-unclean-20260422T143255674865Z/raw/code_polishment/llama_3_2_3b_lora_unclean_20260422T143255674865Z_0_end.jsonl,2076,7856,4295
benchmark_runs/deepseek-coder-6.7b-base-lora-clean-20260419T043211238548Z/raw/code_polishment/deepseek_coder_6_7b_base_lora_clean_20260419T043211238548Z_0_end.jsonl,2075,6147,5865
benchmark_runs/deepseek-coder-6.7b-base-lora-clean-20260410T083740880601Z/raw/code_polishment/deepseek_coder_6_7b_base_lora_clean_20260410T083740880601Z_0_end.jsonl,2074,6147,5870
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean-20260423T175454860327Z/raw/code_polishment/deepseek_coder_6_7b_base_lora_unclean_20260423T175454860327Z_0_end.jsonl,2073,6145,6001
benchmark_runs/qwen2.5-coder-14b-lora-dirty-20260418T114704125314Z/raw/code_translate/qwen2_5_coder_14b_lora_dirty_20260418T114704125314Z_0_end.jsonl,2073,14616,4743
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260422T175621184548Z/raw/code_polishment/qwen2_5_coder_7b_lora_unclean_20260422T175621184548Z_0_end.jsonl,2072,16137,4311
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260423T132418034156Z/raw/code_polishment/qwen2_5_coder_7b_lora_unclean_20260423T132418034156Z_0_end.jsonl,2072,16149,4325
benchmark_runs/qwen2.5-coder-7b-lora-clean10k-20260409T235910483594Z/raw/code_polishment/qwen2_5_coder_7b_lora_clean10k_20260409T235910483594Z_0_end.jsonl,2070,7659,4157
benchmark_runs/qwen2.5-coder-7b-lora-dirty10k-20260416T221032354053Z/raw/code_polishment/qwen2_5_coder_7b_lora_dirty10k_20260416T221032354053Z_0_end.jsonl,2069,16439,4133
benchmark_runs/deepseek-coder-6.7b-base-lora-dirty-20260410T093652677124Z/raw/code_polishment/deepseek_coder_6_7b_base_lora_dirty_20260410T093652677124Z_0_end.jsonl,2068,6147,5931
benchmark_runs/deepseek-coder-6.7b-base-lora-dirty-20260419T061424111401Z/raw/code_polishment/deepseek_coder_6_7b_base_lora_dirty_20260419T061424111401Z_0_end.jsonl,2067,6147,5932
benchmark_runs/qwen2.5-coder-7b-lora-dirty10k-20260418T160803449471Z/raw/code_polishment/qwen2_5_coder_7b_lora_dirty10k_20260418T160803449471Z_0_end.jsonl,2066,15942,4138
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260423T015421183589Z/raw/code_polishment/qwen2_5_coder_7b_lora_unclean_20260423T015421183589Z_0_end.jsonl,2066,16109,4315
benchmark_runs/qwen2.5-coder-7b-lora-clean-20260410T001507490245Z/raw/code_polishment/qwen2_5_coder_7b_lora_clean_20260410T001507490245Z_0_end.jsonl,2062,7742,4103
benchmark_runs/qwen2.5-3b-lora-clean10k-20260409T223816521417Z/raw/code_polishment/qwen2_5_3b_lora_clean10k_20260409T223816521417Z_0_end.jsonl,2061,7484,4190
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T104121153032Z/raw/code_polishment/qwen2_5_coder_14b_lora_unclean_20260422T104121153032Z_0_end.jsonl,2061,16051,4373
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T015608558738Z/raw/code_polishment/qwen2_5_coder_14b_lora_unclean_20260422T015608558738Z_0_end.jsonl,2060,16136,4371
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T184547557365Z/raw/code_polishment/qwen2_5_coder_14b_lora_unclean_20260422T184547557365Z_0_end.jsonl,2059,16098,4371
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260423T003441441412Z/raw/code_polishment/qwen2_5_coder_14b_lora_unclean_20260423T003441441412Z_0_end.jsonl,2053,16208,4375
benchmark_runs/qwen2.5-coder-7b-lora-unclean74k-20260417T000213274436Z/raw/code_polishment/qwen2_5_coder_7b_lora_unclean74k_20260417T000213274436Z_0_end.jsonl,2048,15992,4067
benchmark_runs/qwen2.5-3b-lora-unclean10k-20260423T040843119141Z/raw/code_polishment/qwen2_5_3b_lora_unclean10k_20260423T040843119141Z_0_end.jsonl,2047,8091,4275
benchmark_runs/qwen2.5-coder-7b-lora-unclean74k-20260418T170033879725Z/raw/code_polishment/qwen2_5_coder_7b_lora_unclean74k_20260418T170033879725Z_0_end.jsonl,2047,15992,4078
benchmark_runs/qwen2.5-coder-14b-lora-clean-20260416T203511555376Z/raw/code_polishment/qwen2_5_coder_14b_lora_clean_20260416T203511555376Z_0_end.jsonl,2044,16183,4305
benchmark_runs/qwen2.5-coder-14b-lora-clean-20260418T093649488110Z/raw/code_polishment/qwen2_5_coder_14b_lora_clean_20260418T093649488110Z_0_end.jsonl,2038,16183,4295
benchmark_runs/qwen2.5-coder-14b-lora-unclean74k-20260416T225633840158Z/raw/code_polishment/qwen2_5_coder_14b_lora_unclean74k_20260416T225633840158Z_0_end.jsonl,2036,19499,4288
benchmark_runs/llama-3.2-3b-lora-dirty-20260410T205740169730Z/raw/code_polishment/llama_3_2_3b_lora_dirty_20260410T205740169730Z_0_end.jsonl,2033,7674,4291
benchmark_runs/llama-3.2-3b-lora-dirty-20260418T050728766994Z/raw/code_polishment/llama_3_2_3b_lora_dirty_20260418T050728766994Z_0_end.jsonl,2029,7674,4290
benchmark_runs/qwen2.5-3b-lora-dirty10k-20260418T073921767284Z/raw/code_polishment/qwen2_5_3b_lora_dirty10k_20260418T073921767284Z_0_end.jsonl,2025,15890,4197
benchmark_runs/starcoder2-15b-baseline-20260409T203413347628Z/raw/code_polishment/starcoder2_15b_baseline_20260409T203413347628Z_0_end.jsonl,2023,5460,3870
benchmark_runs/qwen3-4b-base-lora-clean-20260410T061125660334Z/raw/code_translate/qwen3_4b_base_lora_clean_20260410T061125660334Z_0_end.jsonl,1988,7314,4271
benchmark_runs/qwen3-4b-base-lora-unclean-20260423T151534824226Z/raw/code_polishment/qwen3_4b_base_lora_unclean_20260423T151534824226Z_0_end.jsonl,1988,8200,4236
benchmark_runs/qwen3-4b-base-lora-unclean-20260423T022216133033Z/raw/code_polishment/qwen3_4b_base_lora_unclean_20260423T022216133033Z_0_end.jsonl,1976,8200,4234
benchmark_runs/qwen3-4b-base-lora-unclean-20260422T042308214384Z/raw/code_polishment/qwen3_4b_base_lora_unclean_20260422T042308214384Z_0_end.jsonl,1975,8200,4229
benchmark_runs/starcoder2-7b-baseline-20260409T221304723202Z/raw/code_polishment/starcoder2_7b_baseline_20260409T221304723202Z_0_end.jsonl,1957,8971,3652
benchmark_runs/starcoder2-7b-baseline-20260415T200314684133Z/raw/code_polishment/starcoder2_7b_baseline_20260415T200314684133Z_0_end.jsonl,1956,8971,3645
benchmark_runs/qwen2.5-3b-lora-clean10k-20260418T064608021211Z/raw/code_polishment/qwen2_5_3b_lora_clean10k_20260418T064608021211Z_0_end.jsonl,1952,7141,4252
benchmark_runs/llama-3.2-3b-lora-unclean74k-20260418T060013733329Z/raw/code_translate/llama_3_2_3b_lora_unclean74k_20260418T060013733329Z_0_end.jsonl,1931,6443,4276
benchmark_runs/llama-3.2-3b-lora-unclean74k-20260410T215040667720Z/raw/code_translate/llama_3_2_3b_lora_unclean74k_20260410T215040667720Z_0_end.jsonl,1926,6443,4275
benchmark_runs/qwen2.5-coder-14b-baseline-20260417T180742437628Z/raw/code_polishment/qwen2_5_coder_14b_baseline_20260417T180742437628Z_0_end.jsonl,1926,6454,3956
benchmark_runs/qwen2.5-coder-14b-lora-dirty-20260416T203509813736Z/raw/code_polishment/qwen2_5_coder_14b_lora_dirty_20260416T203509813736Z_0_end.jsonl,1918,12157,4559
benchmark_runs/qwen3-14b-base-lora-clean10k-20260410T015108695320Z/raw/code_polishment/qwen3_14b_base_lora_clean10k_20260410T015108695320Z_0_end.jsonl,1917,7660,4138
benchmark_runs/qwen2.5-coder-14b-lora-dirty-20260418T114704125314Z/raw/code_polishment/qwen2_5_coder_14b_lora_dirty_20260418T114704125314Z_0_end.jsonl,1910,12138,4578
benchmark_runs/llama-3.2-3b-lora-clean-20260410T200640322209Z/raw/code_debug/llama_3_2_3b_lora_clean_20260410T200640322209Z_0_end.jsonl,1907,6906,4355
benchmark_runs/llama-3.2-3b-lora-clean-20260418T041625154798Z/raw/code_debug/llama_3_2_3b_lora_clean_20260418T041625154798Z_0_end.jsonl,1907,7168,4354
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T104121153032Z/raw/code_debug/qwen2_5_coder_14b_lora_unclean_20260422T104121153032Z_0_end.jsonl,1907,16099,4411
benchmark_runs/llama-3.2-3b-lora-unclean-20260422T073747642660Z/raw/code_debug/llama_3_2_3b_lora_unclean_20260422T073747642660Z_0_end.jsonl,1906,7321,4316
benchmark_runs/llama-3.2-3b-lora-unclean-20260422T143255674865Z/raw/code_debug/llama_3_2_3b_lora_unclean_20260422T143255674865Z_0_end.jsonl,1906,7321,4326
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T015608558738Z/raw/code_debug/qwen2_5_coder_14b_lora_unclean_20260422T015608558738Z_0_end.jsonl,1906,16099,4411
benchmark_runs/deepseek-coder-6.7b-base-lora-clean-20260410T083740880601Z/raw/code_debug/deepseek_coder_6_7b_base_lora_clean_20260410T083740880601Z_0_end.jsonl,1905,6142,5925
benchmark_runs/deepseek-coder-6.7b-base-lora-clean-20260419T043211238548Z/raw/code_debug/deepseek_coder_6_7b_base_lora_clean_20260419T043211238548Z_0_end.jsonl,1905,6142,5925
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260422T184547557365Z/raw/code_debug/qwen2_5_coder_14b_lora_unclean_20260422T184547557365Z_0_end.jsonl,1905,16099,4405
benchmark_runs/qwen2.5-coder-14b-lora-unclean-20260423T003441441412Z/raw/code_debug/qwen2_5_coder_14b_lora_unclean_20260423T003441441412Z_0_end.jsonl,1905,16099,4407
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean-20260423T175454860327Z/raw/code_debug/deepseek_coder_6_7b_base_lora_unclean_20260423T175454860327Z_0_end.jsonl,1903,6142,5972
benchmark_runs/deepseek-coder-6.7b-base-lora-dirty-20260410T093652677124Z/raw/code_debug/deepseek_coder_6_7b_base_lora_dirty_20260410T093652677124Z_0_end.jsonl,1901,6142,5958
benchmark_runs/deepseek-coder-6.7b-base-lora-dirty-20260419T061424111401Z/raw/code_debug/deepseek_coder_6_7b_base_lora_dirty_20260419T061424111401Z_0_end.jsonl,1901,6142,5959
benchmark_runs/qwen2.5-3b-lora-clean10k-20260409T223816521417Z/raw/code_debug/qwen2_5_3b_lora_clean10k_20260409T223816521417Z_0_end.jsonl,1901,6063,4246
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean74k-20260419T075715807957Z/raw/code_debug/deepseek_coder_6_7b_base_lora_unclean74k_20260419T075715807957Z_0_end.jsonl,1900,6148,5988
benchmark_runs/qwen2.5-coder-7b-lora-dirty10k-20260416T221032354053Z/raw/code_debug/qwen2_5_coder_7b_lora_dirty10k_20260416T221032354053Z_0_end.jsonl,1900,7393,4135
benchmark_runs/deepseek-coder-6.7b-base-lora-unclean74k-20260410T101813368867Z/raw/code_debug/deepseek_coder_6_7b_base_lora_unclean74k_20260410T101813368867Z_0_end.jsonl,1899,6148,5988
benchmark_runs/llama-3.2-3b-lora-dirty-20260410T205740169730Z/raw/code_debug/llama_3_2_3b_lora_dirty_20260410T205740169730Z_0_end.jsonl,1898,6906,4295
benchmark_runs/qwen2.5-coder-7b-lora-dirty10k-20260418T160803449471Z/raw/code_debug/qwen2_5_coder_7b_lora_dirty10k_20260418T160803449471Z_0_end.jsonl,1898,7393,4144
benchmark_runs/qwen3-14b-base-lora-clean10k-20260418T180430398409Z/raw/code_polishment/qwen3_14b_base_lora_clean10k_20260418T180430398409Z_0_end.jsonl,1896,7666,4139
benchmark_runs/qwen2.5-coder-14b-lora-clean-20260418T093649488110Z/raw/code_debug/qwen2_5_coder_14b_lora_clean_20260418T093649488110Z_0_end.jsonl,1895,16069,4401
benchmark_runs/qwen3-4b-base-lora-unclean-20260423T151534824226Z/raw/code_debug/qwen3_4b_base_lora_unclean_20260423T151534824226Z_0_end.jsonl,1895,6468,4240
benchmark_runs/qwen2.5-3b-lora-clean10k-20260418T064608021211Z/raw/code_debug/qwen2_5_3b_lora_clean10k_20260418T064608021211Z_0_end.jsonl,1894,6906,4297
benchmark_runs/llama-3.2-3b-lora-dirty-20260418T050728766994Z/raw/code_debug/llama_3_2_3b_lora_dirty_20260418T050728766994Z_0_end.jsonl,1893,6906,4299
benchmark_runs/qwen2.5-3b-lora-unclean10k-20260423T040843119141Z/raw/code_debug/qwen2_5_3b_lora_unclean10k_20260423T040843119141Z_0_end.jsonl,1893,8136,4343
benchmark_runs/qwen2.5-coder-7b-lora-clean10k-20260409T235910483594Z/raw/code_debug/qwen2_5_coder_7b_lora_clean10k_20260409T235910483594Z_0_end.jsonl,1893,7634,4161
benchmark_runs/qwen2.5-coder-14b-lora-clean-20260416T203511555376Z/raw/code_debug/qwen2_5_coder_14b_lora_clean_20260416T203511555376Z_0_end.jsonl,1892,16060,4398
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260422T175621184548Z/raw/code_debug/qwen2_5_coder_7b_lora_unclean_20260422T175621184548Z_0_end.jsonl,1892,15994,4361
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260423T015421183589Z/raw/code_debug/qwen2_5_coder_7b_lora_unclean_20260423T015421183589Z_0_end.jsonl,1892,15892,4372
benchmark_runs/qwen2.5-coder-7b-lora-unclean74k-20260417T000213274436Z/raw/code_debug/qwen2_5_coder_7b_lora_unclean74k_20260417T000213274436Z_0_end.jsonl,1892,6104,4116
benchmark_runs/qwen3-4b-base-lora-unclean-20260423T022216133033Z/raw/code_debug/qwen3_4b_base_lora_unclean_20260423T022216133033Z_0_end.jsonl,1892,6468,4245
benchmark_runs/qwen3-8b-base-lora-clean-20260410T072512991051Z/raw/code_translate/qwen3_8b_base_lora_clean_20260410T072512991051Z_0_end.jsonl,1891,20071,3418
benchmark_runs/qwen2.5-coder-7b-lora-clean-20260410T001507490245Z/raw/code_debug/qwen2_5_coder_7b_lora_clean_20260410T001507490245Z_0_end.jsonl,1890,6660,4114
benchmark_runs/qwen2.5-coder-7b-lora-unclean-20260423T132418034156Z/raw/code_debug/qwen2_5_coder_7b_lora_unclean_20260423T132418034156Z_0_end.jsonl,1890,15892,4371
benchmark_runs/qwen2.5-coder-7b-lora-unclean74k-20260418T170033879725Z/raw/code_debug/qwen2_5_coder_7b_lora_unclean74k_20260418T170033879725Z_0_end.jsonl,1887,6138,4118
benchmark_runs/qwen3-4b-base-lora-unclean-20260422T042308214384Z/raw/code_debug/qwen3_4b_base_lora_unclean_20260422T042308214384Z_0_end.jsonl,1885,6468,4237
benchmark_runs/starcoder2-15b-baseline-20260409T203413347628Z/raw/code_debug/starcoder2_15b_baseline_20260409T203413347628Z_0_end.jsonl,1883,5361,3773
benchmark_runs/qwen2.5-coder-14b-baseline-20260417T180742437628Z/raw/code_debug/qwen2_5_coder_14b_baseline_20260417T180742437628Z_0_end.jsonl,1881,5808,4065
benchmark_runs/starcoder2-7b-baseline-20260409T221304723202Z/raw/code_debug/starcoder2_7b_baseline_20260409T221304723202Z_0_end.jsonl,1877,8816,3684
benchmark_runs/starcoder2-7b-baseline-20260415T200314684133Z/raw/code_debug/starcoder2_7b_baseline_20260415T200314684133Z_0_end.jsonl,1872,5073,3687
benchmark_runs/qwen3-14b-base-lora-unclean-20260423T140302210775Z/raw/code_debug/qwen3_14b_base_lora_unclean_20260423T140302210775Z_0_end.jsonl,1853,6982,4396
benchmark_runs/qwen3-14b-base-lora-unclean-20260422T205736288920Z/raw/code_debug/qwen3_14b_base_lora_unclean_20260422T205736288920Z_0_end.jsonl,1849,7005,4396
benchmark_runs/qwen3-14b-base-lora-unclean-20260422T022848031208Z/raw/code_debug/qwen3_14b_base_lora_unclean_20260422T022848031208Z_0_end.jsonl,1848,7005,4392
benchmark_runs/qwen2.5-coder-7b-lora-dirty-20260416T230342417572Z/raw/code_debug/qwen2_5_coder_7b_lora_dirty_20260416T230342417572Z_0_end.jsonl,1847,19935,4150
benchmark_runs/qwen3-14b-base-lora-dirty10k-20260410T034707684762Z/raw/code_translate/qwen3_14b_base_lora_dirty10k_20260410T034707684762Z_0_end.jsonl,1845,6425,4142
benchmark_runs/qwen3-14b-base-lora-dirty10k-20260418T200450849175Z/raw/code_translate/qwen3_14b_base_lora_dirty10k_20260418T200450849175Z_0_end.jsonl,1845,6425,4149
benchmark_runs/qwen3-14b-base-lora-unclean-20260422T120902591970Z/raw/code_debug/qwen3_14b_base_lora_unclean_20260422T120902591970Z_0_end.jsonl,1844,7005,4393
benchmark_runs/deepseek-coder-6.7b-base-baseline-20260409T203401444176Z/raw/code_translate/deepseek_coder_6_7b_base_baseline_20260409T203401444176Z_0_end.jsonl,1843,7723,3442
benchmark_runs/deepseek-coder-6.7b-base-baseline-20260417T230636517659Z/raw/code_translate/deepseek_coder_6_7b_base_baseline_20260417T230636517659Z_0_end.jsonl,1843,7723,3440
benchmark_runs/qwen2.5-coder-7b-lora-dirty-20260416T230342417572Z/raw/code_polishment/qwen2_5_coder_7b_lora_dirty_20260416T230342417572Z_0_end.jsonl,1838,19638,4129
benchmark_runs/qwen3-4b-base-lora-dirty-20260419T005641018719Z/raw/code_translate/qwen3_4b_base_lora_dirty_20260419T005641018719Z_0_end.jsonl,1838,6209,4222
benchmark_runs/qwen2.5-3b-lora-dirty10k-20260418T073921767284Z/raw/code_debug/qwen2_5_3b_lora_dirty10k_20260418T073921767284Z_0_end.jsonl,1836,19964,4240
benchmark_runs/qwen3-14b-base-lora-unclean-20260422T022848031208Z/raw/code_translate/qwen3_14b_base_lora_unclean_20260422T022848031208Z_0_end.jsonl,1827,7491,4306
benchmark_runs/qwen3-14b-base-lora-unclean-20260423T140302210775Z/raw/code_translate/qwen3_14b_base_lora_unclean_20260423T140302210775Z_0_end.jsonl,1826,7491,4298
