model,model_type,ablation,status,generation_pct,eval_pct,code_debug,code_translation,code_requirement_switch,code_polishment
qwen3-4b-base,base,LLM-Cleaning,eval_complete,100%,100%,43.2,35.9,7.3,27.1
qwen3-4b-base,base,Static-Cleaning,eval_partial,100%,99.5%,35.8,31.8,7.5,26.3
qwen3-4b-base,base,Unfiltered,eval_partial,100%,99.6%,23.6,34.7,7.6,35.0
qwen3-8b-base,base,Baseline,eval_complete,100%,100%,47.0,40.8,12.9,27.0
qwen3-8b-base,base,LLM-Cleaning,eval_complete,100%,100%,20.8,18.8,6.0,11.8
qwen3-8b-base,base,Static-Cleaning,eval_complete,100%,100%,0.1,0.0,0.0,0.1
qwen3-8b-base,base,Unfiltered,eval_complete,100%,100%,7.1,2.9,1.0,5.0
starcoder2-15b,base,Baseline,eval_partial,86.4%,12.8%,36.2,42.4,6.0,29.6
starcoder2-15b,base,LLM-Cleaning,eval_partial,99.9%,99.5%,42.7,37.5,8.4,27.0
starcoder2-15b,base,Static-Cleaning,eval_partial,99.9%,99.5%,41.0,36.8,6.8,32.5
starcoder2-15b,base,Unfiltered,eval_complete,99.9%,100%,43.1,39.7,8.1,47.7
starcoder2-3b,base,Baseline,eval_complete,100%,100%,10.5,25.7,2.4,21.7
starcoder2-3b,base,LLM-Cleaning,eval_partial,100%,85.0%,24.5,26.1,2.6,28.9
starcoder2-3b,base,Static-Cleaning,eval_partial,100%,96.6%,23.6,26.8,2.1,31.0
starcoder2-3b,base,Unfiltered,eval_partial,100%,48.7%,24.6,23.5,2.3,31.0
starcoder2-7b,base,Baseline,eval_complete,100%,100%,30.4,30.0,3.2,42.2
starcoder2-7b,base,LLM-Cleaning,eval_partial,100%,38.4%,34.8,32.3,3.2,30.9
starcoder2-7b,base,Static-Cleaning,eval_partial,100%,21.0%,30.0,30.6,3.6,30.6
starcoder2-7b,base,Unfiltered,eval_complete,100%,100%,29.7,30.9,4.1,55.1
