model,model_type,ablation,status,generation_pct,eval_pct,code_debug,code_translation,code_requirement_switch,code_polishment
qwen3-14b-base,base,Baseline,eval_complete,100%,100%,27.2,48.6,15.4,18.9
qwen3-14b-base,base,LLM-Cleaning,eval_complete,100%,100%,25.3,51.5,13.2,43.3
qwen3-14b-base,base,Static-Cleaning,eval_partial,100%,99.5%,24.0,48.2,11.2,25.6
qwen3-14b-base,base,Unfiltered,eval_partial,100%,99.5%,24.8,51.4,13.1,28.1
qwen3-4b-base,base,Baseline,eval_complete,100%,100%,25.7,37.6,9.4,22.0
qwen3-4b-base,base,LLM-Cleaning,eval_complete,100%,100%,24.6,40.6,7.3,18.4
qwen3-4b-base,base,Static-Cleaning,eval_partial,100%,99.5%,18.1,33.5,7.5,19.8
qwen3-4b-base,base,Unfiltered,eval_partial,100%,99.6%,15.6,41.2,7.6,24.1
qwen3-8b-base,base,Baseline,eval_complete,100%,100%,28.0,43.5,12.9,17.6
qwen3-8b-base,base,LLM-Cleaning,eval_complete,100%,100%,8.5,31.3,6.0,9.0
qwen3-8b-base,base,Static-Cleaning,eval_complete,100%,100%,0.0,0.0,0.0,0.1
qwen3-8b-base,base,Unfiltered,eval_complete,100%,100%,0.6,2.3,1.0,2.1
starcoder2-15b,base,Baseline,eval_partial,86.4%,12.8%,16.0,47.9,6.0,20.3
starcoder2-15b,base,LLM-Cleaning,eval_partial,99.9%,99.5%,21.6,47.0,8.4,18.5
starcoder2-15b,base,Static-Cleaning,eval_partial,99.9%,99.5%,21.5,45.6,6.8,19.3
starcoder2-15b,base,Unfiltered,eval_complete,99.9%,100%,21.8,48.0,8.1,35.4
starcoder2-3b,base,Baseline,eval_complete,100%,100%,7.2,37.9,2.4,24.6
starcoder2-3b,base,LLM-Cleaning,eval_partial,100%,85.0%,9.5,36.7,2.6,43.4
starcoder2-3b,base,Static-Cleaning,eval_partial,100%,96.6%,5.3,35.9,2.1,21.8
starcoder2-3b,base,Unfiltered,eval_partial,100%,48.7%,6.2,35.2,2.3,37.7
starcoder2-7b,base,Baseline,eval_complete,100%,100%,10.9,36.7,3.2,29.3
starcoder2-7b,base,LLM-Cleaning,eval_partial,100%,38.4%,13.6,41.8,3.2,20.6
starcoder2-7b,base,Static-Cleaning,eval_partial,100%,21.0%,10.8,40.9,3.6,20.2
starcoder2-7b,base,Unfiltered,eval_complete,100%,100%,9.1,40.2,4.1,43.6
